time,response_code,birth_year,postal_code,lat,long,city,ine_code
"2017-09-26 13:54:35,029",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,055",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,083",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,112",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,139",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,162",NOT_FOUND,,,,,,
"2017-09-26 13:54:35,192",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,220",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,249",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,276",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,299",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,328",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,353",BAD_DATE,,,,,,
"2017-09-26 13:54:35,458",OK,,,,,,
"2017-09-26 13:54:35,490",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,518",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,548",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,578",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,608",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,645",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,673",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,700",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,728",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,756",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,787",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,817",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,847",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,875",NOT_FOUND,,,,,,
"2017-09-26 13:54:35,905",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,935",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,966",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,993",NO_3_DATA,,,,,,
"2017-09-26 13:54:36,022",NO_3_DATA,,,,,,
"2017-09-26 13:54:36,053",NO_3_DATA,,,,,,
"2017-09-26 13:54:36,077",BAD_NIF,,,,,,
"2017-09-26 13:54:36,104",NO_3_DATA,,,,,,
"2017-09-26 13:54:36,176",NOT_FOUND,,,,,,
"2017-09-26 13:54:36,200",NO_3_DATA,,,,,,
"2017-09-26 13:54:36,222",NO_3_DATA,,,,,,
"2017-09-26 13:54:44,085",OK,,,,,,
"2017-09-26 13:54:49,073",NO_3_DATA,,,,,,
"2017-09-26 13:55:17,838",OK,,,,,,
"2017-09-26 13:55:23,230",NO_3_DATA,,,,,,
"2017-09-26 13:55:23,690",NO_3_DATA,,,,,,
"2017-09-26 13:55:24,929",OK,,,,,,
"2017-09-26 13:55:37,531",OK,,,,,,
"2017-09-26 13:55:48,513",NOT_FOUND,,,,,,
"2017-09-26 13:55:48,729",NO_3_DATA,,,,,,
"2017-09-26 13:55:56,720",OK,,,,,,
"2017-09-26 13:56:00,184",NO_3_DATA,,,,,,
"2017-09-26 13:56:10,255",NOT_FOUND,,,,,,
"2017-09-26 13:56:10,551",NOT_FOUND,,,,,,
"2017-09-26 13:56:18,195",OK,,,,,,
"2017-09-26 13:56:22,377",NO_3_DATA,,,,,,
"2017-09-26 13:56:25,895",OK,,,,,,
"2017-09-26 13:56:29,763",OK,,,,,,
"2017-09-26 13:56:38,790",NOT_FOUND,,,,,,
"2017-09-26 13:57:00,544",NO_3_DATA,,,,,,
"2017-09-26 13:57:02,479",OK,,,,,,
"2017-09-26 13:57:04,712",NOT_FOUND,,,,,,
"2017-09-26 13:57:11,230",NOT_FOUND,,,,,,
"2017-09-26 13:57:11,697",NOT_FOUND,,,,,,
"2017-09-26 13:57:12,990",OK,,,,,,
"2017-09-26 13:57:20,673",NO_3_DATA,,,,,,
"2017-09-26 13:57:30,561",OK,,,,,,
"2017-09-26 13:57:30,997",NOT_FOUND,,,,,,
"2017-09-26 13:57:33,464",OK,,,,,,
"2017-09-26 13:57:33,588",NO_3_DATA,,,,,,
"2017-09-26 13:57:44,589",NO_3_DATA,,,,,,
"2017-09-26 13:57:45,714",NO_3_DATA,,,,,,
"2017-09-26 13:58:13,922",NO_3_DATA,,,,,,
"2017-09-26 13:58:16,054",OK,,,,,,
"2017-09-26 13:58:16,245",OK,,,,,,
"2017-09-26 13:58:25,639",OK,,,,,,
"2017-09-26 13:58:28,417",NO_3_DATA,,,,,,
"2017-09-26 13:58:30,883",NO_3_DATA,,,,,,
"2017-09-26 13:58:37,479",OK,,,,,,
"2017-09-26 13:58:49,896",NO_3_DATA,,,,,,
"2017-09-26 13:58:58,014",NO_3_DATA,,,,,,
"2017-09-26 13:59:01,704",NO_3_DATA,,,,,,
"2017-09-26 13:59:08,814",NO_3_DATA,,,,,,
"2017-09-26 13:59:10,631",NOT_FOUND,,,,,,
"2017-09-26 13:59:14,689",NO_3_DATA,,,,,,
"2017-09-26 13:59:29,018",OK,,,,,,
"2017-09-26 13:59:33,839",NO_3_DATA,,,,,,
"2017-09-26 13:59:39,413",NO_3_DATA,,,,,,
"2017-09-26 13:59:42,912",NOT_FOUND,,,,,,
"2017-09-26 13:59:43,367",OK,,,,,,
"2017-09-26 13:59:44,657",NOT_FOUND,,,,,,
"2017-09-26 14:00:02,266",OK,,,,,,
"2017-09-26 14:00:06,243",OK,,,,,,
"2017-09-26 14:00:09,166",OK,,,,,,
