time,city,ine_code
"2017-09-26T14:57:44+02:00",Sabadell,08187
"2017-09-26T14:57:51+02:00",Sant Carles de la Ràpita,43136
"2017-09-26T14:57:58+02:00",Barcelona,08019
"2017-09-26T14:57:58+02:00",Palamós,17118
"2017-09-26T14:57:58+02:00",Salt,17155
"2017-09-26T14:58:02+02:00",Barcelona,08019
"2017-09-26T14:58:03+02:00",Tarragona,43148
"2017-09-26T14:58:08+02:00",Rubí,08184
"2017-09-26T14:58:11+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:58:15+02:00",Terrassa,08279
"2017-09-26T14:58:19+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:58:23+02:00",Barcelona,08019
"2017-09-26T14:58:23+02:00",Cerdanyola del Vallès,08266
"2017-09-26T14:58:24+02:00",Franqueses del Vallès, Les,08086
"2017-09-26T14:58:25+02:00",Tarragona,43148
"2017-09-26T14:58:31+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:58:45+02:00",Cànoves i Samalús,08042
"2017-09-26T14:58:51+02:00",Lleida,25120
"2017-09-26T14:59:09+02:00",Lleida,25120
"2017-09-26T14:59:21+02:00",Sant Feliu de Llobregat,08211
"2017-09-26T14:59:25+02:00",Balaguer,25040
"2017-09-26T14:59:28+02:00",Cornellà de Llobregat,08073
"2017-09-26T14:59:31+02:00",Masies de Roda, Les,08116
"2017-09-26T14:59:33+02:00",Barcelona,08019
"2017-09-26T14:59:35+02:00",Mollerussa,25137
"2017-09-26T14:59:39+02:00",Palafrugell,17117
"2017-09-26T14:59:49+02:00",Barcelona,08019
"2017-09-26T14:59:53+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:59:54+02:00",Vilafant,17221
"2017-09-26T15:00:02+02:00",Bellcaire d'Urgell,25047
"2017-09-26T15:00:12+02:00",Molins de Rei,08123
"2017-09-26T15:00:14+02:00",Calella,08035
"2017-09-26T15:00:16+02:00",Albatàrrec,25007
"2017-09-26T15:00:25+02:00",Barcelona,08019
"2017-09-26T15:00:25+02:00",Cànoves i Samalús,08042
"2017-09-26T15:00:27+02:00",Mataró,08121
"2017-09-26T15:00:32+02:00",Capellades,08044
"2017-09-26T15:00:34+02:00",Corçà,17057
"2017-09-26T15:00:35+02:00",Lleida,25120
"2017-09-26T15:00:36+02:00",Cornellà del Terri,17056
"2017-09-26T15:00:38+02:00",Barcelona,08019
"2017-09-26T15:00:54+02:00",Sabadell,08187
"2017-09-26T15:01:09+02:00",Barcelona,08019
"2017-09-26T15:01:13+02:00",Barcelona,08019
"2017-09-26T15:01:13+02:00",Vilafranca del Penedès,08305
"2017-09-26T15:01:14+02:00",Avinyonet del Penedès,08013
"2017-09-26T15:01:15+02:00",Barcelona,08019
"2017-09-26T15:01:23+02:00",Palau d'Anglesola, El,25158
"2017-09-26T15:01:30+02:00",Perafort,43103
"2017-09-26T15:01:47+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:01:49+02:00",Palamós,17118
"2017-09-26T15:01:50+02:00",Cassà de la Selva,17044
"2017-09-26T15:01:58+02:00",Barcelona,08019
"2017-09-26T15:02:03+02:00",Palamós,17118
"2017-09-26T15:02:08+02:00",Barcelona,08019
"2017-09-26T15:02:20+02:00",Barcelona,08019
"2017-09-26T15:02:23+02:00",Masnou, El,08118
"2017-09-26T15:02:33+02:00",Lleida,25120
"2017-09-26T15:02:35+02:00",Cambrils,43038
"2017-09-26T15:02:36+02:00",Premià de Mar,08172
"2017-09-26T15:02:37+02:00",Sant Boi de Llobregat,08200
"2017-09-26T15:02:47+02:00",Sant Celoni,08202
"2017-09-26T15:02:48+02:00",Santa Eugènia de Berga,08246
"2017-09-26T15:03:04+02:00",Calaf,08031
"2017-09-26T15:03:05+02:00",Barcelona,08019
"2017-09-26T15:03:25+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T15:03:27+02:00",Barcelona,08019
"2017-09-26T15:03:31+02:00",Sabadell,08187
"2017-09-26T15:03:34+02:00",Barcelona,08019
"2017-09-26T15:03:44+02:00",Vic,08298
"2017-09-26T15:03:48+02:00",Santa Perpètua de Mogoda,08260
"2017-09-26T15:03:52+02:00",Taradell,08278
"2017-09-26T15:04:08+02:00",Torelló,08285
"2017-09-26T15:04:08+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:04:12+02:00",Cambrils,43038
"2017-09-26T15:04:22+02:00",Barcelona,08019
"2017-09-26T15:04:23+02:00",Lleida,25120
"2017-09-26T15:04:34+02:00",Cerdanyola del Vallès,08266
"2017-09-26T15:04:39+02:00",Cassà de la Selva,17044
"2017-09-26T15:04:42+02:00",Vilafranca del Penedès,08305
"2017-09-26T15:04:47+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:04:59+02:00",Barcelona,08019
"2017-09-26T15:05:03+02:00",Girona,17079
"2017-09-26T15:05:04+02:00",Barcelona,08019
"2017-09-26T15:05:08+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:05:12+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:05:16+02:00",Riudaura,17149
"2017-09-26T15:05:22+02:00",Badalona,08015
"2017-09-26T15:05:23+02:00",Palamós,17118
"2017-09-26T15:05:25+02:00",Vilanova i la Geltrú,08307
"2017-09-26T15:05:36+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:05:38+02:00",Barcelona,08019
"2017-09-26T15:05:47+02:00",Barcelona,08019
"2017-09-26T15:05:47+02:00",Barcelona,08019
"2017-09-26T15:05:50+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:05:56+02:00",Prat de Llobregat, El,08169
"2017-09-26T15:06:03+02:00",Albatàrrec,25007
"2017-09-26T15:06:08+02:00",Barcelona,08019
"2017-09-26T15:06:09+02:00",Avinyonet del Penedès,08013
"2017-09-26T15:06:13+02:00",Tàrrega,25217
"2017-09-26T15:06:26+02:00",Vic,08298
"2017-09-26T15:06:29+02:00",Premià de Dalt,08230
"2017-09-26T15:06:30+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:06:32+02:00",Mont-roig del Camp,43092
"2017-09-26T15:06:39+02:00",Premià de Dalt,08230
"2017-09-26T15:06:40+02:00",Vilafranca del Penedès,08305
"2017-09-26T15:06:48+02:00",Lleida,25120
"2017-09-26T15:06:51+02:00",Rosselló,25189
"2017-09-26T15:06:51+02:00",Massalcoreig,25131
"2017-09-26T15:06:55+02:00",Hospitalet de Llobregat, L',08101
"2017-09-26T15:07:05+02:00",Vilanova del Camí,08302
"2017-09-26T15:07:14+02:00",Barcelona,08019
"2017-09-26T15:07:19+02:00",Massalcoreig,25131
"2017-09-26T15:07:22+02:00",Sant Feliu de Codines,08210
"2017-09-26T15:07:26+02:00",Lleida,25120
"2017-09-26T15:07:28+02:00",Argentona,08009
